operator,name_from,name_to,vehicle_class,price,distance,effective_from,effective_to,season_start,season_end,source_id
APRR,ALLAINVILLE,PONT D AIN,1,59.50,483.85,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,POUILLY-EN-AUXOIS,1,43.20,300.02,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,REPLONGES,1,54.20,427.37,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,RIOM,1,38.10,338.80,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,ROBECOURT,1,48.60,388.48,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,SAINT GENIS,1,58.70,517.04,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,SAINT MAURICE,1,64.70,529.02,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,SAINT THIBAULT,1,36.90,243.02,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,SEURRE,1,49.20,366.32,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,SOIRANS,1,50.60,394.07,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,ST AMAND-MONTROND,1,26.40,215.15,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,ST MARTIN-DU-FRESNE,1,62.90,500.58,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,ST-DENIS-LES-SENS,1,31.00,171.16,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,ST-GERMAIN-LAXIS,1,36.40,233.10,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,SYLANS,1,63.60,510.15,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,THENNELIERES,1,38.30,255.12,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,TIL CHATEL,1,48.50,383.12,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,TORVILLIERS,1,36.40,226.94,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,TOURNUS,1,51.20,391.02,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,URY,1,33.10,196.79,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,VAL DE SAONE,1,61.50,537.39,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,VILLE SOUS LAFERTE,1,41.20,296.92,2026-02-01,2027-01-31,,,aprr-class1-2026
APRR,ALLAINVILLE,VILLEFRANCHE-LIMAS,1,61.80,492.82,2026-02-01,2027-01-31,,,aprr-class1-2026
