name,operator,lat,lon,type
EGLETONS,APRR,45.4073918,2.0211932,closed
TULLE EST,APRR,45.3181188,1.8503589,closed
TULLE NORD,APRR,45.3290189,1.7639661,closed
PEAGE DE ST GERMAIN LES VERGNES,APRR,45.2839317,1.6171681,closed
PEAGE DE CLERMONT,APRR,45.8413126,3.1610281,closed
GERZAT,APRR,45.8419673,3.1608014,closed
RIOM,APRR,45.8955545,3.1481729,closed
COMBRONDE,APRR,45.9960339,3.1046691,closed
PEAGE DE GANNAT - GANNAT,APRR,46.0980771,3.1356526,closed
MONTMARAULT,APRR,46.3276582,2.9663511,closed
PEAGE DE DEUX CHAISES - DEUX CHAISES,APRR,46.3703031,3.0276811,closed
PEAGE DE MONTLUCON - MONTLUCON,APRR,46.3964311,2.7112613,closed
FORET DE TRONCAIS,APRR,46.5064795,2.6303355,closed
ST AMAND MONTROND,APRR,46.7220021,2.4583168,closed
BOURGES,APRR,47.0448918,2.3417968,closed
VIERZON EST,APRR,47.2118385,2.1184157,closed
VIERZON NORD,APRR,47.2438063,2.0644035,closed
VILLEFRANCHE SUR CHER - ROMORANTIN,APRR,47.3245608,1.7656674,closed
CHEMERY - SELLES SUR CHER,APRR,47.3246739,1.5001828,closed
ST ROMAIN SUR CHER - SAINT AIGNAN SUR CHER,APRR,47.3065782,1.3531066,closed
BLERE,APRR,47.2864836,0.9844652,closed
ESVRES,APRR,47.3071705,0.7960772,closed
PEAGE DE VEIGNE,APRR,47.3120032,0.7352858,closed
SALBRIS,APRR,47.4185485,2.025665,closed
LAMOTTE BEUVRON,APRR,47.5817361,1.9910306,closed
OLIVET,APRR,47.8408587,1.8693513,closed
ORLEANS CENTRE,APRR,47.8982384,1.8531879,closed
PEAGE DE ST ARNOULT,APRR,48.5536289,1.9303383,closed
ALLAINVILLE,APRR,48.456566,1.9083125,closed
ALLAINES,APRR,48.205309,1.8459556,closed
ARTENAY,APRR,48.0841897,1.8557181,closed
GIDY,APRR,47.9670494,1.8515589,closed
ORLEANS NORD,APRR,47.9495887,1.8546514,closed
MEUNG SUR LOIRE,APRR,47.832803,1.6690019,closed
MER,APRR,47.7285632,1.5086201,closed
BLOIS,APRR,47.6215008,1.3464557,closed
AMBOISE CHATEAU RENAULT,APRR,47.5428585,0.9848382,closed
PEAGE DE MONNAIE,APRR,47.4903389,0.8194191,closed
ESCRENNES,APRR,48.11639,2.1911176,closed
AUXY,APRR,48.0853357,2.4727593,closed
GONDREVILLE NORD,APRR,48.0607779,2.6676442,closed
GONDREVILLE SUD,APRR,42.0606642,2.6676092,closed
FONTENAY SUR LOING,APRR,48.0641618,2.7670794,closed
ST HILAIRE LES ANDRESIS - SAINT HILAIRE LES ANDRESIS,APRR,48.0368366,3.0225587,closed
SAVIGNY SUR CLAIRIS,APRR,48.0559454,3.0880896,closed
VILLENEUVE DONDAGRE,APRR,48.1496404,3.1713746,closed
ST DENIS LES SENS - SAINT DENIS LES SENS,APRR,48.2369888,3.262201,closed
PEAGE DE FLEURY EN BIERE,APRR,48.4266295,2.5401807,closed
URY,APRR,48.338634,2.5954312,closed
FONTAINEBLEAU,APRR,48.2896884,2.6832481,closed
NEMOURS,APRR,48.2695319,2.71338,closed
COURTENAY,APRR,48.0597651,3.0952651,closed
JOIGNY,APRR,47.9383172,3.244093,closed
AUXERRE NORD,APRR,47.8516154,3.5486952,closed
AUXERRE SUD,APRR,47.7967621,3.6528479,closed
NITRY,APRR,47.6591113,3.8795829,closed
AVALLON,APRR,47.5093282,3.992068,closed
BIERRE LES SEMUR,APRR,47.4365874,4.3094972,closed
